FechaVisado,TipoCarga,PuntoVisado,LatitudPtoVisado,LongitudPtoVisado,Ruta,Zona,FechaAccidente,Latitud,Longitud,TipoAccidente,Resultado,Temperatura
4/12/2021,Granel,Circunvalación Cruce A La Democracia,14.29550889,-90.97168741,Ruta 2,Zona 2,4/12/2021,14.29053533,-90.96946983,Colisión,1, 23.27 
3/5/2019,Granel,Finca La Niña,14.16384075,-90.84768911,Ruta Interna,Zona 1,3/5/2019,14.16715394,-90.84820684,Volcadura,1, 23.96 
2/6/2020,Granel,Circunvalación Cruce A La Union,14.30607178,-91.04667292,Ruta 2,Zona 2,2/6/2020,14.30654186,-91.04695407,Volcadura,1, 28.36 
2/17/2021,Granel,Cruce A Tiquisate,14.41076857,-91.30794358,Ruta 3,Zona 3,2/17/2021,14.41136962,-91.31710218,Volcadura,1, 25.23 
1/13/2019,Vacío,Cruce A Tiquisate,14.41076857,-91.30794358,Ruta 3,Zona 3,1/13/2019,14.41075466,-91.30821198,Colisión,1, 27.39 
12/17/2018,Mecanizado,Comedor Vista Verde,14.24067668,-90.74166186,Ruta 1,Zona 1,12/17/2018,14.24638144,-90.74090831,Colisión,1, 27.85 
4/25/2021,Granel,Recta Madre Vieja,14.28446115,-91.29718881,Ruta Interna,Zona 2,4/24/2021,14.22229198,-91.09208969,Otro,1, 25.21 
3/29/2019,Vacío,Recta Madre Vieja,14.28446115,-91.29718881,Ruta Interna,Zona 2,3/28/2019,14.24120076,-91.19547839,Colisión,1, 28.50 
2/13/2021,Granel,El Castaño,14.23550613,-91.17881204,Ruta Interna,Zona 2,2/13/2021,14.24996927,-91.18337255,Volcadura,1, 25.54 
3/12/2020,Granel,Caserio La Sureña,14.3919786,-91.85273014,Ruta 3,Zona 3,3/12/2020,14.38069622,-91.86632913,Otro,1, 27.55 
11/24/2018,Mecanizado,Entrada A Finca Lorena,14.51967526,-91.41538809,Ruta 3,Zona 3,11/24/2018,14.54546098,-91.55857917,Colisión,1, 26.22 
3/30/2019,Mecanizado,"Aldea La Guitarra, Frente A Escuela",14.47304866,-91.75469914,Ruta 3,Zona 3,3/29/2019,14.53224935,-91.67616738,Colisión,1, 23.24 
2/22/2021,Granel,Gasolinera Maranatha,14.54285361,-91.42735216,Ruta 3,Zona 3,2/22/2021,14.53618333,-91.4210378,Otro,1, 26.79 
12/4/2020,Mecanizado,El Castaño,14.23550613,-91.17881204,Ruta Interna,Zona 2,12/4/2020,14.22156826,-91.10265837,Volcadura,1, 26.28 
12/21/2020,Vacío,Recta Madre Vieja,14.28446115,-91.29718881,Ruta Interna,Zona 2,12/21/2020,14.28863567,-91.33306153,Colisión,1, 26.95 
12/23/2020,Granel,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,12/23/2020,14.23404597,-91.17187866,Volcadura,1, 28.40 
2/16/2021,Vacío,Cruce A San Jose El Idolo,14.49287908,-91.41020992,Ruta 3,Zona 3,2/16/2021,14.49930307,-91.412263,Colisión,1, 27.9 
12/21/2018,Granel,Caserio La Redención,14.02851117,-90.48460981,Ruta Comunidades Críticas,Zona 1,12/21/2018,14.02769055,-90.47313976,Otro,1, 28.64 
4/8/2020,Vacío,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,4/8/2020,14.24358018,-91.1953586,Otro,1, 23.69 
1/25/2021,Granel,Finca Las Ilusiones,14.33294063,-91.01250334,Ruta 2,Zona 2,1/25/2021,14.33429249,-91.00763356,Colisión,1, 26.35 
4/30/2019,Granel,Cruce A Tiquisate,14.41076857,-91.30794358,Ruta 3,Zona 3,4/30/2019,14.41156386,-91.30607737,Colisión,1, 26.60 
1/26/2019,Granel,Paso Antonio Llantera 6.,14.06376776,-90.71620384,Ruta Interna,Zona 1,1/26/2019,14.07370984,-90.7574358,Volcadura,1, 28.43 
1/5/2021,Granel,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,1/5/2021,14.22971112,-91.15279311,Volcadura,1, 26.20 
3/15/2021,Granel,Cruce A Tiquisate,14.41076857,-91.30794358,Ruta 3,Zona 3,3/15/2021,14.41122877,-91.31969173,Volcadura,1, 27.6 
12/15/2018,Granel,"Aldea La Guitarra, Frente A Escuela",14.47304866,-91.75469914,Ruta 3,Zona 3,12/15/2018,14.45442482,-91.77723981,Volcadura,1, 24.54 
