index, LatitudPtoVisado , LongitudPtoVisado , Latitud , Longitud ,Resultado, Temperatura ,Anio,Mes
90, 14.4202 ,-91.8187 , 14.4173 ,-91.8222 ,1, 26.90 ,2019,2
91, 14.3061 ,-91.0467 , 14.3066 ,-91.0470 ,1, 27.49 ,2020,4
92, 14.2326 ,-91.1627 , 14.2436 ,-91.1959 ,1, 25.61 ,2019,3
93, 14.2000 ,-90.8496 , 14.1821 ,-90.8647 ,1, 27.38 ,2021,4
94, 14.2976 ,-90.9496 , 14.2976 ,-90.9496 ,1, 28.34 ,2020,12
95, 14.2326 ,-91.1627 , 14.2506 ,-91.2253 ,1, 27.88 ,2019,2
96, 14.3010 ,-91.3808 , 14.2934 ,-91.3709 ,1, 23.90 ,2021,5
97, 14.3061 ,-91.0467 , 14.3570 ,-91.0122 ,1, 28.23 ,2020,11
98, 14.3267 ,-90.7964 , 14.3283 ,-91.0212 ,1, 28.57 ,2019,3
99, 14.3676 ,-91.5540 , 14.2805 ,-91.6422 ,1, 23.20 ,2019,2
100, 14.5712 ,-91.6589 , 14.5652 ,-91.6864 ,1, 26.86 ,2018,12
101, 14.1708 ,-91.1026 , 14.1352 ,-90.9867 ,1, 25.22 ,2018,12
102, 14.2695 ,-90.8275 , 14.2648 ,-90.8384 ,1, 26.83 ,2021,3
103, 14.5419 ,-91.5789 , 14.5426 ,-91.5873 ,1, 25.50 ,2020,2
104, 14.4627 ,-91.3925 , 14.4806 ,-91.3961 ,1, 26.14 ,2021,2
105, 14.5339 ,-91.6740 , 14.5319 ,-91.6781 ,1, 26.81 ,2019,4
106, 14.4202 ,-91.8187 , 14.4179 ,-91.8215 ,1, 23.38 ,2018,11
107, 14.3061 ,-91.0467 , 14.2124 ,-91.2276 ,1, 23.58 ,2020,1
108, 14.5712 ,-91.6589 , 14.5695 ,-91.6668 ,1, 28.31 ,2020,12
109, 14.2826 ,-90.7873 , 14.2831 ,-90.7883 ,1, 28.45 ,2021,4
110, 14.5429 ,-91.4274 , 14.5404 ,-91.4260 ,1, 23.91 ,2018,12
111, 14.2006 ,-91.1061 , 14.2206 ,-91.1012 ,1, 25.17 ,2021,1
112, 14.2428 ,-91.3629 , 14.3313 ,-91.0533 ,1, 24.34 ,2020,1
113, 14.2326 ,-91.1627 , 14.2412 ,-91.1955 ,1, 25.62 ,2019,2
114, 14.4627 ,-91.3925 , 14.4351 ,-91.3839 ,1, 28.71 ,2021,1
