TransvisadoID,FechaVisado,TipoCarga,PuntoVisado,LatitudPtoVisado,LongitudPtoVisado,Ruta,Zona,FechaAccidente,Latitud,Longitud,Ubicacion,TipoAccidente,Procedencia,Destino,FechaLiberacion,DañoInfraestructuraVial,Observaciones
1290D8CC-4A5C-4F60-A38E-EE525F63D11C,00:00.0,Granel,Entrada A Finca Lorena,14.51967526,-91.41538809,Ruta 3,NULL,00:00.0,14.53533789,-91.4207277,KM 148+000 CA2 occidente,Volcadura,NULL,Ingenio El Pilar,NULL,No,Nota: el vehiculo que fue a colisionar con el cabezal canero se dio  a la fuga y el vehiculo q estaba descompuesto lo terminaron de arreglar y continuo su marcha sin obtener datos de ellos.
C09EBB24-74C4-46C2-AF15-872CC0192506,11:00.0,Tramero,Vuelta Del Niño Hulera,14.55185012,-91.63570221,Ruta 3,NULL,30:00.0,14.55507022,-91.63968015,Km175+900 CA2 Occidente,Volcadura,Finca Victoria,Ingenio Tulula,45:00.0,NULL,Quedaron obstruidos los dos carriles pero al levantar el camion se livero un carril el cual personal banderilleros del ingenio el pilar coordinaron el trafico para dar via por un espacio de 5 minutos para cada lado. El piloto del camion fue trasladado a un centro asistencial por paramedicos de la cruz roja. Los datos proporcionados son de un camion tramero.
930328A6-D781-4CF8-8165-ED7DB4D483B5,00:00.0,Granel,Aceituno,14.26743033,-90.874233,Ruta 2,NULL,00:00.0,14.26895452,-90.85409453,Km.67+800 CA-2 Occidente entrada fca. Pezzarossi,Otro,Fca. San Jose Ruta  Antigua,Ing. Pantaleon,NULL,NULL,NULL
FC0275E8-8BC0-4C8D-BBBF-875873BF4832,20:00.0,Granel,Comedor Cristina Cuatro Caminos,14.57116206,-91.658877,Ruta 3,NULL,20:00.0,14.56243045,-91.68531178,Km186+800 RN-9S comedor cristina,Otro,Finca Las Conchitas,Ingenio Palo Gordo,00:00.0,No,NULL
FB83CD2D-9327-4F2D-87F0-B8D7D8733318,52:00.0,Granel,"Aldea La Guitarra, Frente A Escuela",14.47304866,-91.75469914,Ruta 3,NULL,30:00.0,14.47315302,-91.75461486,KM.197+600 RN-9S,Volcadura,Finca Marias Calvo,Ingenio El Pilar,00:00.0,No,Tambien dijeron que el piloto fue trasladado al hospital con posibles fracturas
AC42A6B4-8CE8-4A3C-B8B1-AA1F24AB3C51,15:00.0,Mecanizado,Finca Maricon,14.54765586,-91.61445701,Ruta 3,NULL,15:00.0,14.5476627,-91.6149514,KM.173+500 CA-2 0ccidente,Colisión,Finca Las Americas,Ingenio El Pilar,00:00.0,NULL,En el pick-up viajaban dos personas alas quetrasladaron al Ospital con heridas leves. El piloto y dueño del vehiculo pago el deducible del camion asepto la culpa y los liveraron. El otro camion involucrado no se detubo y siguio su marcha.
08087FD1-8C01-463B-9DB9-F8D89959760D,45:00.0,Granel,Entrada A Caballo Blanco,14.42019864,-91.81868845,Ruta 3,NULL,30:00.0,14.41731534,-91.82222618,KM.207+400 RN-9S,Volcadura,Finca Felicida Cuesta,Ingenio El Pilar,30:00.0,NULL,"El piloto dijo que el camion que lo saco era de Ingenio Palogordo, sin enbargo un supervisor de ingenio el pilar dijo que atras de el iba otra jaula y que vio que el fue el que se salio"
CE64503E-56AB-453F-9D10-A0F2E9643F24,20:00.0,Vacío,Circunvalación Cruce A La Union,14.30607178,-91.04667292,Ruta 2,NULL,05:00.0,14.306579,-91.04699627,89+500 CA-2 Occidente,Otro,Ingenio Trinidad,Ingenio Madre Tierra,00:00.0,No,"En el lugar estaban personal de Guatex, piloto y supervisor de Madre Tierra y PMT.  No se hizo congestionamiento vehicular."
94D953C4-5435-4599-BBE3-8E2884BF284A,30:00.0,Mecanizado,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,30:00.0,14.24355589,-91.19585665,"Vado coyolate, Ruta a Aldea Filipinas",Volcadura,Pamplona,Pantaleon,NULL,NULL,NO hubo ningún carril obstruido por que despegaron la jaula del equipo para que pudieran pasar la unidades sin ningún inconveniente
72E8946C-87DE-4715-B38B-9F329F829870,30:00.0,Vacío,Masagua,14.19997204,-90.84957213,Ruta 1,NULL,20:00.0,14.1820696,-90.86472433,Km 73+550 CA-9 cruce cañeros banderilleros finca San Rafael,Colisión,Ingenio Santa Ana,Finca Versalles . Frente H,NULL,NULL,"El vehículo cuando Volco se paso llevando un poste de madera de la empresa de cable, estuvieron presentes . Kevin Oliva supervisor de transporte. No se logró versión del vehículo particular ya que esta persona padece de diabetes y la tenían en reposo. según comentaron ella se dirigía al centro de salud de amatitlan"
